YouTube_Channel,Minimum_Age,ESRB_Category,Description,Inclusion_Criteria,Source
Patry Jordan,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Willyrex,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
Little Angel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Little_Angel
Nathy Peluso,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
KSI,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/KSI
Logan Paul,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/Logan_Paul
Antrax,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142
CrashCourse,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Michael Reeves,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Bon Appétit,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
ZarcortGame,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Karol G,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Khrystyian,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
PewDiePie,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/PewDiePie
Werevertumorro,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Rosalía,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142
Binging with Babish,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Drakonite,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
AMILCAR ABALLAY,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Game Maker's Toolkit,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Peppa Pig - Official Channel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Peppa_Pig_-_Official_Channel
Mati Spano,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
MoistCr1TiKaL,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
CallMeCarson,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult; High Views,https://en.wikipedia.org/wiki/CallMeCarson
TED-Ed,13,T,General audience channel; standard YouTube content.,English; High Views,https://support.google.com/youtubekids/answer/7124142
Ryan's World,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Ryans_World
Jake Paul,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult; High Views,https://en.wikipedia.org/wiki/Jake_Paul
El Reino Infantil,13,T,General audience channel; standard YouTube content.,Top AR,https://support.google.com/youtubekids/answer/7124142
Marichoo,13,T,General audience channel; standard YouTube content.,Top AR; High Views,https://support.google.com/youtubekids/answer/7124142
Lilly Singh,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142
Team Umizoomi Official Channel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Team_Umizoomi_Official_Channel
National Geographic Kids,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/National_Geographic_Kids
Baby Shark Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Baby_Shark_Official
